modalidad,dia_semana,std,mean,count,cv_%
local,Sat,0.5591958512006328,13.5075,16,4.1
local,Mon,0.6150501334579701,13.3325,16,4.6
local,Fri,0.6767754428168917,13.27375,16,5.1
local,Sun,0.7115522592523043,13.49764705882353,17,5.3
local,Tue,0.7203306532419678,13.463125,16,5.4
local,Thu,0.8852078381186346,13.149375,16,6.7
local,Wed,0.9827843100090679,13.24375,16,7.4
pension,Fri,0.5074495048770863,12.70875,16,4.0
pension,Tue,0.48681233550517183,12.284375,16,4.0
pension,Mon,0.556357199408198,12.645,16,4.4
pension,Sat,0.5915822709761787,12.533125,16,4.7
pension,Wed,0.6094885150681675,12.423125,16,4.9
pension,Thu,0.6196867488228764,12.49625,16,5.0
pension,Sun,0.6645968481630313,12.624705882352941,17,5.3
